SessionId,ConversationId,UtteranceIndex,Utterance,Role,Type,CreatedBy,CreationTime,UseForTraining,Category
f0e5e86c-c48e-43b6-9893-e2769078eb4d,d7191fba-22f9-4ccb-b0b7-97be6754d5e8,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:47:36 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,d7191fba-22f9-4ccb-b0b7-97be6754d5e8,1,Hello,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:47:36 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,0,What are the items with a cost change in the last five days for Canned Goods in Zone 260?,User,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),yes,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,1,"Call Cost API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 260"", week = ""last 5 days"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),yes,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,1,"Call Cost API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 260"", week = ""last 5 days"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,0,What are the sales targets for Canned Goods for the next six months in Zone 710?,User,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,1,I don't know.,AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,2,What were the quarterly sales figures for Sports Equipment in Zone 400?,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,3,"Call Movement API with {""product-name"" = ""Sports Equipment"", ""quarter"" = ""quarterly"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 400""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
af7917d6-199c-4d16-ac49-437bba9230e0,fb4c2eef-23dc-4609-bec1-3483707d4fd8,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 13:45:11 GMT+0530 (India Standard Time),,
af7917d6-199c-4d16-ac49-437bba9230e0,fb4c2eef-23dc-4609-bec1-3483707d4fd8,1,What was the revenue generated from Jewelry sales in Zone 600 in the last year?,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 13:45:11 GMT+0530 (India Standard Time),,
af7917d6-199c-4d16-ac49-437bba9230e0,fb4c2eef-23dc-4609-bec1-3483707d4fd8,2,"Call Movement API with {""product-name"" = ""Jewelry"", ""quarter"" = ""last year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 600""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 13:45:11 GMT+0530 (India Standard Time),,
9048cec7-fae2-4b1d-a64b-ea463720cae5,c308a767-758d-4459-a42e-2a93d786edfb,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:27:23 GMT+0530 (India Standard Time),,
9048cec7-fae2-4b1d-a64b-ea463720cae5,c308a767-758d-4459-a42e-2a93d786edfb,1,How much of our Deli product sales are from promotions in the current month in Zone 1?,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:27:23 GMT+0530 (India Standard Time),,
9048cec7-fae2-4b1d-a64b-ea463720cae5,c308a767-758d-4459-a42e-2a93d786edfb,2,"Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", week = ""current month"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", week = ""current month"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:27:23 GMT+0530 (India Standard Time),,
7b4ae229-7fcd-41ef-a7b9-72db3799efb3,29ba1348-a254-459e-9403-46502c85a34a,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:39:04 GMT+0530 (India Standard Time),,
7b4ae229-7fcd-41ef-a7b9-72db3799efb3,29ba1348-a254-459e-9403-46502c85a34a,1,What are the items with a cost change in the last three weeks for Toys and Games in Zone 450?,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:39:04 GMT+0530 (India Standard Time),,
7b4ae229-7fcd-41ef-a7b9-72db3799efb3,29ba1348-a254-459e-9403-46502c85a34a,2,"Call Cost API with {""product-name"" = ""Toys and Games"", ""location-name"" = ""Zone 450"", week = ""last 3"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 14:39:04 GMT+0530 (India Standard Time),,
df5c9a32-dbb7-4417-a2e2-3ce5405714d0,55f7708b-b1c8-496c-a6b4-9c9d783231d7,0,What are the upcoming products with a Buy 3 Get 1 Free offer in the Pet Supplies category? Which of these products are in Zone 710?,User,system,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:19:22 GMT+0530 (India Standard Time),,
df5c9a32-dbb7-4417-a2e2-3ce5405714d0,55f7708b-b1c8-496c-a6b4-9c9d783231d7,1,"Call Promo API with {""product-name"" = ""Pet Supplies"", ""location-name"" = ""Zone 710"", ""week"" = ""upcoming"", ""type"" = ""Buy 3 Get 1 Free""}",AI,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:19:22 GMT+0530 (India Standard Time),,
df5c9a32-dbb7-4417-a2e2-3ce5405714d0,55f7708b-b1c8-496c-a6b4-9c9d783231d7,2,What are the sales targets for Canned Goods for the next six months in Zone 710?,User,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:19:22 GMT+0530 (India Standard Time),,
df5c9a32-dbb7-4417-a2e2-3ce5405714d0,55f7708b-b1c8-496c-a6b4-9c9d783231d7,3,I don't know.,AI,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:19:22 GMT+0530 (India Standard Time),,
0356231a-c934-4149-92d8-7420a990a9ac,17d32d17-f104-4a94-acc9-6a192c162426,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:35:35 GMT+0530 (India Standard Time),,
0356231a-c934-4149-92d8-7420a990a9ac,17d32d17-f104-4a94-acc9-6a192c162426,1,What are the Secondary KVIs for Health and Wellness in Zone 15?,User,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:35:35 GMT+0530 (India Standard Time),,
0356231a-c934-4149-92d8-7420a990a9ac,17d32d17-f104-4a94-acc9-6a192c162426,2,"Call KVI API with {""product-name"" = ""Health and Wellness"", ""location-name"" = ""Zone 15"", type = ""Secondary""}",AI,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:35:35 GMT+0530 (India Standard Time),,
1f1ea6f6-6d7b-4a98-89e7-1c5f05284083,91573fae-0337-475e-a6bd-bee821392452,0,Hello,User,system,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:42:00 GMT+0530 (India Standard Time),,
1f1ea6f6-6d7b-4a98-89e7-1c5f05284083,91573fae-0337-475e-a6bd-bee821392452,1,Hi there! How can I help you?,AI,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:42:00 GMT+0530 (India Standard Time),,
1f1ea6f6-6d7b-4a98-89e7-1c5f05284083,91573fae-0337-475e-a6bd-bee821392452,2,Can you give me a list of upcoming items with a BOGO offer in the Home Decor category? Which of these items are on page 1 of the ad in Zone 670?,User,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:42:00 GMT+0530 (India Standard Time),,
1f1ea6f6-6d7b-4a98-89e7-1c5f05284083,91573fae-0337-475e-a6bd-bee821392452,3,"Call Promo API with {""product-name"" = ""Home Decor"", ""location-name"" = ""Zone 670"", ""week"" = ""upcoming"", ""type"" = ""BOGO"", ""page-no"" = ""1""}",AI,query,Suriyadeepan Ramamoorthy,Wed May 24 2023 13:42:00 GMT+0530 (India Standard Time),,
63b4fb55-cff0-456f-8a72-70e966390059,12ee1139-b021-483a-b88d-a48b930aa78d,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Thu May 25 2023 13:29:43 GMT+0530 (India Standard Time),,
63b4fb55-cff0-456f-8a72-70e966390059,12ee1139-b021-483a-b88d-a48b930aa78d,1,What is the expected revenue for Seafood in the current quarter?,User,query,Suriyadeepan Ramamoorthy,Thu May 25 2023 13:29:43 GMT+0530 (India Standard Time),,
63b4fb55-cff0-456f-8a72-70e966390059,12ee1139-b021-483a-b88d-a48b930aa78d,2,"Call Budget API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""} to get the expected revenue for Seafood in the current quarter across all locations.",AI,query,Suriyadeepan Ramamoorthy,Thu May 25 2023 13:29:43 GMT+0530 (India Standard Time),,
63b4fb55-cff0-456f-8a72-70e966390059,12ee1139-b021-483a-b88d-a48b930aa78d,3,Can you provide me with a list of all products with a price change in the last four weeks for Frozen Foods?,User,query,Suriyadeepan Ramamoorthy,Thu May 25 2023 13:29:43 GMT+0530 (India Standard Time),,
63b4fb55-cff0-456f-8a72-70e966390059,12ee1139-b021-483a-b88d-a48b930aa78d,4,"Call Price API with {""product-name"" = ""Frozen Foods"", week = ""last 4"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Thu May 25 2023 13:29:43 GMT+0530 (India Standard Time),,
745c238f-fd11-47fb-b734-f3b2fb1379a0,32688fe3-86e8-4846-844e-86a80ff7a35a,0,Hi there! How may I be of assistance to you today?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 10:31:50 GMT+0530 (India Standard Time),,
745c238f-fd11-47fb-b734-f3b2fb1379a0,32688fe3-86e8-4846-844e-86a80ff7a35a,1,What are the items with a cost change in the last three weeks for Toys and Games?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 10:31:50 GMT+0530 (India Standard Time),,
745c238f-fd11-47fb-b734-f3b2fb1379a0,32688fe3-86e8-4846-844e-86a80ff7a35a,2,"Call Cost API with {""product-name"" = ""Toys and Games"", ""location-name"" = ""Zone 450"", week = ""last 3"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 10:31:50 GMT+0530 (India Standard Time),,
6aff0d1c-684c-4935-bd42-a21978d78a51,a6acdc02-a150-46ae-94a2-b559c671566e,0,Salutations! How may I help you achieve your goals?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 12:47:03 GMT+0530 (India Standard Time),NA,
6aff0d1c-684c-4935-bd42-a21978d78a51,a6acdc02-a150-46ae-94a2-b559c671566e,1,What was the revenue generated from Jewelry sales in Zone 600 in the last year?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 12:47:03 GMT+0530 (India Standard Time),NA,
6aff0d1c-684c-4935-bd42-a21978d78a51,a6acdc02-a150-46ae-94a2-b559c671566e,2,"Call Movement API with {""product-name"" = ""Jewelry"", ""quarter"" = ""last year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 600""}",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 12:47:03 GMT+0530 (India Standard Time),NA,
dfcd6dae-68a4-4e27-8421-6f65b0d4cbf0,1c515a2c-2ddf-45e7-a8e4-91623821536a,0,Salutations! How may I help you achieve your goals?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 13:08:51 GMT+0530 (India Standard Time),NA,
dfcd6dae-68a4-4e27-8421-6f65b0d4cbf0,1c515a2c-2ddf-45e7-a8e4-91623821536a,1,What is the expected revenue for Seafood in the current quarter?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 13:08:51 GMT+0530 (India Standard Time),NA,
dfcd6dae-68a4-4e27-8421-6f65b0d4cbf0,1c515a2c-2ddf-45e7-a8e4-91623821536a,2,"Call Budget API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""}",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 13:08:51 GMT+0530 (India Standard Time),NA,
6c6bdcf0-7733-4923-a0a6-09e4f80884f4,36900cb7-6c47-4baf-9642-e944f982d9b4,0,Good day! How can I be of service to you at this moment?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:47:34 GMT+0530 (India Standard Time),NA,
6c6bdcf0-7733-4923-a0a6-09e4f80884f4,36900cb7-6c47-4baf-9642-e944f982d9b4,1,What are the sales targets for Canned Goods for the next six months in Zone 710?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:47:34 GMT+0530 (India Standard Time),NA,
6c6bdcf0-7733-4923-a0a6-09e4f80884f4,36900cb7-6c47-4baf-9642-e944f982d9b4,2,"Call Budget API with {""product-name"" = ""Canned Goods"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 710""} and Call Forecast API with {""product-name"" = ""Canned Goods"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 710""} to get the sales targets for Canned Goods for the next six months in Zone 710.",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:47:34 GMT+0530 (India Standard Time),NA,
6c6bdcf0-7733-4923-a0a6-09e4f80884f4,36900cb7-6c47-4baf-9642-e944f982d9b4,3,Feedback in progress ...,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:47:34 GMT+0530 (India Standard Time),NA,
6c6bdcf0-7733-4923-a0a6-09e4f80884f4,36900cb7-6c47-4baf-9642-e944f982d9b4,4,,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:47:34 GMT+0530 (India Standard Time),NA,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,0,Hey! What brings you here today? How can I assist you?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,1,What were the sales numbers for Men's Clothing in Q3?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,2,You would need to provide the location name for the sales numbers for Men's Clothing in Q3.,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,3,What were the sales numbers for men's Clothing in Q3 at Zone 79?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,4,"Call Movement API with {""product-name"" = ""Men's Clothing"", ""quarter"" = 3, ""metrics"" = [""sales""], ""location-name"" = ""Zone 79""}",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,5,Feedback in progress ...,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
a8ddeea5-3441-442e-ac96-025b701dfaa5,972746f5-d756-420e-8c73-570fa262c307,6,,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 15:52:46 GMT+0530 (India Standard Time),yes,
020f4442-75c3-42d5-b527-18e914e85219,6d2db016-940e-4a18-8edb-8d5ab8bf823c,0,Welcome! How can I help you with your inquiries?,AI,system,Suriyadeepan Ramamoorthy,Tue May 30 2023 16:01:38 GMT+0530 (India Standard Time),yes,
020f4442-75c3-42d5-b527-18e914e85219,6d2db016-940e-4a18-8edb-8d5ab8bf823c,1,What are the sales targets for Canned Goods for the next six months in Zone 710?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 16:01:38 GMT+0530 (India Standard Time),yes,
020f4442-75c3-42d5-b527-18e914e85219,6d2db016-940e-4a18-8edb-8d5ab8bf823c,2,I don't know.,AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 16:01:38 GMT+0530 (India Standard Time),yes,
020f4442-75c3-42d5-b527-18e914e85219,6d2db016-940e-4a18-8edb-8d5ab8bf823c,3,Can you give me a list of Secondary KVIs for Pet Care in Zone 710?,User,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 16:01:38 GMT+0530 (India Standard Time),yes,
020f4442-75c3-42d5-b527-18e914e85219,6d2db016-940e-4a18-8edb-8d5ab8bf823c,4,"Call KVI API with {""product-name"" = ""Pet Care"", ""location-name"" = ""Zone 710"", type = ""Secondary""}",AI,query,Suriyadeepan Ramamoorthy,Tue May 30 2023 16:01:38 GMT+0530 (India Standard Time),yes,
